Argument ID	Text	Labels
C26001	China's 996 overtime system is very inefficient in enhancing your ability to make money. If you rely on 996 to make money, you are essentially making money by working hard, selling your body. therefore We should abolish the 996 overtime system	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26002	"China's 996 overtime system leaves you with no room to learn and improve, forever trapped in a ""rat trap"". therefore We should abolish the 996 overtime system"	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26003	For the poor people, if they can go to the Internet factory, China's 996 overtime system is a blessing, twelve hours a day, six days a week, can also rest a day, quite good. nevertheless We should abolish the 996 overtime system	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26004	China's 996 overtime system violates labor laws. therefore We should abolish the 996 overtime system	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
C26005	Corporate management seeks to maximize profits, and China's 996 overtime system can reduce operating costs, especially labor costs. nevertheless We should abolish the 996 overtime system	[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26006	The electric car is driven by an electric motor and has a direct maximum torque at start-up, which is faster than the fuel car power section. nevertheless We should give up developing electric vehicles	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26007	The intelligence of electric cars is much higher than that of fuel cars. nevertheless We should give up developing electric vehicles	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26008	Electric cars are much cheaper to use than fuel cars over the life cycle of a car. nevertheless We should give up developing electric vehicles	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26009	The development of electric vehicle batteries is a highly polluting industry. Even the batteries will bring very serious pollution if they cannot be recycled. therefore We should give up developing electric vehicles	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
C26010	Market orientation is difficult. In the absence of subsidies, no license restrictions and other policies, whether the sales of pure electric vehicles can still grow steadily is questionable. therefore We should give up developing electric vehicles	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26011	Power battery energy density is relatively low and stability is not high, the battery industry needs to break through the technical bottleneck or find cost-effective alternative products. therefore We should give up developing electric vehicles	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26012	The number of charging infrastructure construction is not enough. therefore We should give up developing electric vehicles	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26013	Low user confidence, low acceptance of new things, even from earlier scandalous events in the electric vehicles industry. therefore We should give up developing electric vehicles	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]
C26014	Virtual currency is a money laundering channel for criminals. therefore We should ban the trading of virtual currencies.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
C26015	Cracking down on virtual currencies is not only to ensure the smooth advancement of carbon peak and carbon neutrality, but also to protect the country's financial order. therefore We should ban the trading of virtual currencies.	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
C26016	Virtual currency is not protected by contract law and property law in China. therefore We should ban the trading of virtual currencies.	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26017	Digital currency not only cannot create foreign exchange, but also causes foreign exchange outflow therefore We should ban the trading of virtual currencies.	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26018	Virtual currency-related business activities are illegal financial activities, and the provision of services by overseas virtual currency exchanges to Chinese residents through the Internet is also illegal financial activities. therefore We should ban the trading of virtual currencies.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
C26019	Virtual currency creation does not provide commodities with corresponding value to the market. therefore We should ban the trading of virtual currencies.	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26020	Virtual currencies have changed the way of commercial realization. The birth of virtual currency, the token system, is designed to overturn the current business logic. nevertheless We should ban the trading of virtual currencies.	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
