Argument ID	Text	Labels
C26001	We should abolish the 996 overtime system in favor of China's 996 overtime system is very inefficient in enhancing your ability to make money. If you rely on 996 to make money, you are essentially making money by working hard, selling your body.	[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26002	"We should abolish the 996 overtime system in favor of China's 996 overtime system leaves you with no room to learn and improve, forever trapped in a ""rat trap""."	[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26004	We should abolish the 996 overtime system in favor of China's 996 overtime system violates labor laws.	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
C26009	We should give up developing electric vehicles in favor of The development of electric vehicle batteries is a highly polluting industry. Even the batteries will bring very serious pollution if they cannot be recycled.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
C26010	We should give up developing electric vehicles in favor of Market orientation is difficult. In the absence of subsidies, no license restrictions and other policies, whether the sales of pure electric vehicles can still grow steadily is questionable.	[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26011	We should give up developing electric vehicles in favor of Power battery energy density is relatively low and stability is not high, the battery industry needs to break through the technical bottleneck or find cost-effective alternative products.	[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26012	We should give up developing electric vehicles in favor of The number of charging infrastructure construction is not enough.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
C26013	We should give up developing electric vehicles in favor of Low user confidence, low acceptance of new things, even from earlier scandalous events in the electric vehicles industry.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]
C26014	We should ban the trading of virtual currencies. in favor of Virtual currency is a money laundering channel for criminals.	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
C26015	We should ban the trading of virtual currencies. in favor of Cracking down on virtual currencies is not only to ensure the smooth advancement of carbon peak and carbon neutrality, but also to protect the country's financial order.	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]
C26016	We should ban the trading of virtual currencies. in favor of Virtual currency is not protected by contract law and property law in China.	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
C26017	We should ban the trading of virtual currencies. in favor of Digital currency not only cannot create foreign exchange, but also causes foreign exchange outflow	[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
