Argument ID	Text	Labels
A01002	[C] We should ban human cloning [/C] [F] [P] we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A01005	[C] We should ban fast food [/C] [F] [P] fast food should be banned because it is really bad for your health and is costly. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A01006	[C] We should end the use of economic sanctions [/C] [A] [P] sometimes economic sanctions are the only thing that will get the corrupt governments to take action [/P]	[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A01007	[C] We should abolish capital punishment [/C] [A] [P] capital punishment is sometimes the only option to keep criminals from committing more crimes. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
A01008	[C] We should ban factory farming [/C] [A] [P] factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]
A01009	[C] We should fight for the abolition of nuclear weapons [/C] [A] [P] nuclear weapons help keep the peace in uncertain times [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A01010	[C] We should prohibit school prayer [/C] [A] [P] it should be allowed if the student wants to pray as long as it is not interfering with his classes [/P]	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A01011	[C] We should abolish the three-strikes laws [/C] [F] [P] three strike laws can cause young people to be put away for life without a chance to straight out their life [/P]	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]
A01014	[C] We should adopt an austerity regime [/C] [A] [P] adopting austerity regime will have very negative impact on the poor and the vulnerable in society. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A01015	[C] We should adopt an austerity regime [/C] [F] [P] we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
A01016	[C] We should adopt gender-neutral language [/C] [A] [P] gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words. [/P]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A01018	[C] We should end the use of economic sanctions [/C] [A] [P] economic sanctions provide a non-military sanction to use against countries. [/P]	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
