Argument ID	Text	Labels
A01002	we should ban human cloning as it will only cause huge issues when you have a bunch of the same humans running around all acting the same. so We should ban human cloning	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A01005	fast food should be banned because it is really bad for your health and is costly. so We should ban fast food	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A01006	sometimes economic sanctions are the only thing that will get the corrupt governments to take action but We should end the use of economic sanctions	[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A01007	capital punishment is sometimes the only option to keep criminals from committing more crimes. but We should abolish capital punishment	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]
A01008	factory farming allows for the production of cheap food, which is a necessity for families surviving on a low income. but We should ban factory farming	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0]
A01009	nuclear weapons help keep the peace in uncertain times but We should fight for the abolition of nuclear weapons	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A01010	it should be allowed if the student wants to pray as long as it is not interfering with his classes but We should prohibit school prayer	[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A01011	three strike laws can cause young people to be put away for life without a chance to straight out their life so We should abolish the three-strikes laws	[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]
A01014	adopting austerity regime will have very negative impact on the poor and the vulnerable in society. but We should adopt an austerity regime	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A01015	we should adopt an austerity regime because it is unfair to expect future generations to settle the debts that we run up so We should adopt an austerity regime	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
A01016	gender neutral language is just another way to try to please a group.  we have two sexes, men and women and they should be differentiate by the use of words. but We should adopt gender-neutral language	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A01018	economic sanctions provide a non-military sanction to use against countries. but We should end the use of economic sanctions	[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]
A01019	factory farming cuts too many health and safety corners as opposed to smaller family farms, this leads to potentially unsafe and unhealthy products. so We should ban factory farming	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]
A01020	It is important for news organizations to transfer to new forms of media, like the internet, but it is costly and requires subsidization. so We should subsidize journalism	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A02003	there are parades for every group and it is discrimination not to give gays their parade but We should cancel pride parades	[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0]
A02004	children have not grown and truly formed their adult looks.   cosmetic surgery for a child should be banned until as an adult the child can make a informed choice over their bodies not a whim of a child. so We should ban cosmetic surgery for minors	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]
A02005	we should legalize prostitution because it will be regulated meaning the females will be safer so We should legalize prostitution	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A02006	embryonic stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions. so We should subsidize embryonic stem cell research	[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A02007	algorithms may not be 100% accurate and reflect the situation in the real market so We should ban algorithmic trading	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
A02008	We should legalize the organ trade because currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times. so We should legalize organ trade	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]
A02010	if you start legalizing drugs it could open up the floodgates for more legalization of dangerous drugs. but We should legalize cannabis	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A02011	nuclear weapons pose too serious a threat to our world.  we must abolish them now. so We should fight for the abolition of nuclear weapons	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]
A02012	telemarketing doesn't differentiate between people who are interested in being called and those who aren't so We should ban telemarketing	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]
A02013	school prayer cannot account for the array of beliefs or non-beliefs students may hold. so We should prohibit school prayer	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]
A02014	we should not abolish the right to keep and bear arms as everyone has a right to keep guns as a mean of protection as stated in the constitution. but We should abolish the right to keep and bear arms	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]
A02015	they are nothing but a cult and manipulate their members so We should ban the Church of Scientology	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
